Month,July,August,September,October,November,December,January,February,Grand Total
Long-term resident departure,7396,7543,5325,5115,4885,6226,8848,4781,50119
Long-term resident return,10611,10016,10524,10407,10827,21321,11572,10928,96206
Long-term visitor arrival,64362,30610,31671,33927,28766,24324,55550,80813,350023
Long-term visitor departure,23068,20029,21389,21439,25396,40338,33511,20020,205190
Resident permanent departure,8693,9464,7442,7112,6210,8508,10820,5275,63524
Settler arrival,10434,13303,11580,10995,11034,11531,9611,11833,90321
Short-term resident departure,890643,808434,975137,779397,734480,1127870,771282,589997,6677241
Short-term resident return,1023386,821739,885538,1023834,738837,676799,1256949,737799,7164881
Short-term visitor arrival,716009,632649,647220,694344,720495,971802,725790,780059,5888367
Short-term visitor departure,643798,695513,588650,682335,771876,800918,949600,769797,5902488
Grand Total,3398401,3049299,3184477,3268905,3052806,3689638,3833533,3011302,26488360
